employee_id,name,email,age,gender,hire_date,tenure_years,salary,satisfaction,department
43,Employee 43,emp43@example.com,40,M,2019-08-19,0.5,717488,0.415,Finance
44,Employee 44,emp44@example.com,48,F,2014-10-26,1.87,966896,0.576,Engineering
45,Employee 45,emp45@example.com,27,F,2017-02-03,1.05,796887,0.736,Engineering
46,Employee 46,emp46@example.com,28,M,2022-11-01,3.57,1385651,0.528,HR
47,Employee 47,emp47@example.com,55,F,2023-03-04,1.75,479317,0.783,Product
48,Employee 48,emp48@example.com,34,M,2022-07-09,5.69,1386106,0.409,Product
49,Employee 49,emp49@example.com,37,F,2016-10-24,0.64,845398,0.666,Sales
50,Employee 50,emp50@example.com,56,M,2017-09-11,1.62,253621,0.496,Support
51,Employee 51,emp51@example.com,24,M,2021-01-03,2.45,705787,0.266,Sales
52,Employee 52,emp52@example.com,22,F,2019-07-07,0.4,830247,0.569,Support
53,Employee 53,emp53@example.com,26,F,2022-12-07,2.66,857469,0.06,Finance
54,Employee 54,emp54@example.com,24,F,2018-09-22,1.03,321710,0.599,Support
55,Employee 55,emp55@example.com,49,M,2022-04-04,0.78,411820,0.49,Product
56,Employee 56,emp56@example.com,38,M,2022-10-11,0.46,1277721,0.602,Finance
57,Employee 57,emp57@example.com,46,Other,2023-10-10,1.29,532765,0.261,Engineering
58,Employee 58,emp58@example.com,54,M,2020-06-03,7.93,1141324,0.422,Product
59,Employee 59,emp59@example.com,30,M,2023-02-24,0.09,1328771,0.489,Finance
60,Employee 60,emp60@example.com,56,M,2020-04-22,5.73,1413034,0.272,HR
61,Employee 61,emp61@example.com,34,M,2017-09-18,1.52,483418,0.19,Support
62,Employee 62,emp62@example.com,51,M,2022-01-03,2.47,398311,0.665,Support
63,Employee 63,emp63@example.com,35,F,2016-09-07,2.16,852891,0.196,HR
64,Employee 64,emp64@example.com,28,M,2021-09-07,7.8,1409428,0.419,Product
65,Employee 65,emp65@example.com,34,F,2021-06-21,4.41,1431219,0.678,Product
66,Employee 66,emp66@example.com,43,M,2016-02-28,12.56,1048970,0.194,Sales
67,Employee 67,emp67@example.com,41,M,2021-08-03,4.75,1114003,0.059,Support
68,Employee 68,emp68@example.com,36,F,2022-02-26,1.05,572468,0.951,Product
69,Employee 69,emp69@example.com,38,F,2018-07-20,9.88,788370,0.463,Sales
70,Employee 70,emp70@example.com,44,F,2021-01-09,12.33,692937,0.356,Support
71,Employee 71,emp71@example.com,46,F,2020-10-26,0.39,1418574,0.804,HR
72,Employee 72,emp72@example.com,45,M,2020-12-07,6.94,890988,0.884,HR
73,Employee 73,emp73@example.com,49,F,2022-10-09,3.27,230900,0.973,HR
74,Employee 74,emp74@example.com,35,F,2020-08-09,7.65,1447569,0.685,Engineering
75,Employee 75,emp75@example.com,21,M,2019-02-24,7.42,1241670,0.485,Product
76,Employee 76,emp76@example.com,45,F,2022-05-03,6.66,936285,0.488,HR
77,Employee 77,emp77@example.com,27,F,2018-07-17,6.5,489141,0.438,Sales
78,Employee 78,emp78@example.com,29,M,2014-02-09,0.38,1015920,0.164,Sales
79,Employee 79,emp79@example.com,44,M,2015-12-10,0.46,1096184,0.681,Finance
80,Employee 80,emp80@example.com,21,M,2016-05-31,0.38,222975,0.667,Finance
81,Employee 81,emp81@example.com,28,F,2018-02-28,0.29,1451759,0.035,Engineering
82,Employee 82,emp82@example.com,44,M,2018-02-18,1.31,264254,0.693,Sales
83,Employee 83,emp83@example.com,31,M,2020-06-13,3.46,1223144,0.781,Support
84,Employee 84,emp84@example.com,37,M,2019-05-12,1.31,303197,0.555,Finance
85,Employee 85,emp85@example.com,28,F,2015-09-11,3.82,225809,0.742,Product
86,Employee 86,emp86@example.com,55,F,2014-07-24,5.15,1030427,0.375,Product
87,Employee 87,emp87@example.com,55,F,2017-02-11,3.29,1447780,0.472,Product
88,Employee 88,emp88@example.com,53,M,2018-05-22,1.88,782100,0.924,Product
89,Employee 89,emp89@example.com,25,F,2022-03-04,1.05,259760,0.49,Finance
90,Employee 90,emp90@example.com,59,F,2022-04-19,0.4,422037,0.689,Engineering
91,Employee 91,emp91@example.com,48,F,2020-05-02,2.04,566563,0.448,Finance
92,Employee 92,emp92@example.com,27,M,2020-03-13,3.81,741795,0.043,Product
93,Employee 93,emp93@example.com,29,M,2017-04-10,2.38,234388,0.458,HR
94,Employee 94,emp94@example.com,28,F,2023-01-24,3.83,285894,0.517,Support
95,Employee 95,emp95@example.com,32,M,2019-11-04,1.22,519239,0.684,Support
96,Employee 96,emp96@example.com,54,F,2015-08-24,0.21,1100287,0.454,Product
97,Employee 97,emp97@example.com,53,F,2015-12-03,4.42,459553,0.96,Engineering
98,Employee 98,emp98@example.com,43,F,2015-07-03,0.74,454044,0.62,Sales
99,Employee 99,emp99@example.com,44,F,2021-09-26,2.87,1389496,0.434,Sales
100,Employee 100,emp100@example.com,57,F,2021-01-27,4.89,1448294,0.401,Product
101,Employee 101,emp101@example.com,55,M,2017-12-12,0.45,1089377,0.417,Engineering
102,Employee 102,emp102@example.com,42,M,2020-05-14,2.74,416421,0.801,Finance
103,Employee 103,emp103@example.com,47,M,2023-08-23,3.51,655433,0.074,Engineering
104,Employee 104,emp104@example.com,55,F,2014-11-24,4.12,731464,0.042,Support
105,Employee 105,emp105@example.com,21,M,2019-06-17,0.48,1294239,0.52,Product
106,Employee 106,emp106@example.com,55,M,2020-05-15,5.23,993220,0.244,Finance
107,Employee 107,emp107@example.com,57,F,2021-04-08,0.3,393186,0.46,Sales
108,Employee 108,emp108@example.com,34,F,2015-01-23,2.2,467519,0.262,Product
109,Employee 109,emp109@example.com,23,Other,2015-05-22,1.76,1412051,0.561,Sales
110,Employee 110,emp110@example.com,21,F,2017-11-29,0.75,1495616,0.532,Product
111,Employee 111,emp111@example.com,25,F,2018-09-10,1.08,1498649,0.144,Finance
112,Employee 112,emp112@example.com,46,F,2022-01-24,0.54,318781,0.603,Engineering
113,Employee 113,emp113@example.com,34,Other,2019-12-08,1.66,1380988,0.681,Support
114,Employee 114,emp114@example.com,59,F,2015-12-01,0.11,716686,0.407,Support
115,Employee 115,emp115@example.com,47,F,2017-02-06,6.59,372710,0.554,Sales
116,Employee 116,emp116@example.com,29,F,2014-09-02,0.54,962471,0.621,Finance
117,Employee 117,emp117@example.com,35,F,2021-01-05,6.52,535663,0.595,Sales
118,Employee 118,emp118@example.com,35,M,2015-07-08,5.98,1217815,0.065,HR
119,Employee 119,emp119@example.com,46,M,2022-06-03,1.8,641627,0.86,Finance
120,Employee 120,emp120@example.com,33,M,2022-07-06,2.07,1359894,0.705,Finance
121,Employee 121,emp121@example.com,52,M,2018-04-23,1.08,1236362,0.721,Engineering
122,Employee 122,emp122@example.com,59,M,2020-03-23,17.3,1322639,0.075,Engineering
123,Employee 123,emp123@example.com,52,M,2020-01-31,3.33,553059,0.62,Product
124,Employee 124,emp124@example.com,24,M,2018-01-10,9.1,798378,0.652,Engineering
125,Employee 125,emp125@example.com,50,F,2018-09-17,1.61,246185,0.489,Support
126,Employee 126,emp126@example.com,57,F,2014-07-22,6.44,268105,0.229,Product
127,Employee 127,emp127@example.com,43,M,2015-10-25,1.78,640836,0.917,Support
128,Employee 128,emp128@example.com,59,F,2016-01-03,6.05,1234267,0.179,Engineering
129,Employee 129,emp129@example.com,35,F,2019-02-02,0.42,473722,0.82,Engineering
130,Employee 130,emp130@example.com,49,F,2020-08-04,3.04,224381,0.226,Support
131,Employee 131,emp131@example.com,56,F,2023-12-15,3.41,630442,0.688,Product
132,Employee 132,emp132@example.com,33,M,2019-09-19,3.2,590874,0.293,HR
133,Employee 133,emp133@example.com,52,M,2022-02-10,1.78,1410858,0.656,Finance
134,Employee 134,emp134@example.com,27,M,2015-12-12,3.46,314831,0.591,Support
135,Employee 135,emp135@example.com,42,M,2020-05-05,0.82,473985,0.479,Product
136,Employee 136,emp136@example.com,48,F,2016-09-19,2.72,563716,0.224,HR
137,Employee 137,emp137@example.com,22,M,2021-07-30,2.42,438637,0.327,Support
138,Employee 138,emp138@example.com,26,M,2017-06-05,1.15,264660,0.254,Engineering
139,Employee 139,emp139@example.com,48,M,2015-03-05,4.53,218921,0.398,Product
140,Employee 140,emp140@example.com,48,M,2023-07-09,0.25,278755,0.444,HR
141,Employee 141,emp141@example.com,40,F,2023-11-25,0.56,1099696,0.805,HR
142,Employee 142,emp142@example.com,50,F,2018-10-20,1.91,921197,0.843,Support
143,Employee 143,emp143@example.com,31,M,2020-06-19,6.67,349621,0.324,Support
144,Employee 144,emp144@example.com,48,M,2023-03-07,2.57,824352,0.441,Finance
145,Employee 145,emp145@example.com,45,M,2014-10-31,5.54,277974,0.409,Engineering
146,Employee 146,emp146@example.com,59,M,2018-01-19,2.19,366494,0.116,Support
147,Employee 147,emp147@example.com,53,F,2014-12-13,4.62,483395,0.311,Sales
148,Employee 148,emp148@example.com,21,M,2021-10-10,1.18,237860,0.16,Support
149,Employee 149,emp149@example.com,47,F,2015-09-14,5.06,599796,0.377,HR
150,Employee 150,emp150@example.com,33,F,2020-05-16,1.54,413623,0.316,Product
151,Employee 151,emp151@example.com,23,M,2022-09-05,2.45,510345,0.63,Support
152,Employee 152,emp152@example.com,59,M,2021-05-01,0.58,269936,0.285,Engineering
153,Employee 153,emp153@example.com,26,Other,2018-06-21,7.59,251922,0.706,Sales
154,Employee 154,emp154@example.com,28,F,2017-12-17,3.63,487488,0.724,Sales
155,Employee 155,emp155@example.com,47,F,2014-02-16,5.87,1110297,0.218,Sales
156,Employee 156,emp156@example.com,29,F,2020-09-10,0.7,837869,0.461,Support
157,Employee 157,emp157@example.com,57,F,2021-10-06,0.21,1412221,0.73,HR
158,Employee 158,emp158@example.com,53,M,2018-07-23,1.23,1273356,0.684,Finance
159,Employee 159,emp159@example.com,44,F,2015-10-29,2.18,1044642,0.552,Sales
160,Employee 160,emp160@example.com,35,M,2020-07-11,4.86,909622,0.651,Sales
161,Employee 161,emp161@example.com,52,F,2016-06-18,1.52,915329,0.513,Support
162,Employee 162,emp162@example.com,52,Other,2015-04-02,0.94,1052646,0.199,Product
163,Employee 163,emp163@example.com,44,F,2019-12-28,1.4,1451547,0.408,Sales
164,Employee 164,emp164@example.com,32,M,2014-02-11,3.65,888427,0.743,Engineering
165,Employee 165,emp165@example.com,59,M,2022-04-29,1.23,1199681,0.666,Finance
166,Employee 166,emp166@example.com,22,F,2022-03-08,11.61,691759,0.936,Finance
167,Employee 167,emp167@example.com,23,F,2016-05-25,0.58,781434,0.459,Sales
168,Employee 168,emp168@example.com,57,F,2021-08-06,4.2,252452,0.782,HR
169,Employee 169,emp169@example.com,37,Other,2014-09-14,2.67,616923,0.427,HR
170,Employee 170,emp170@example.com,22,F,2018-02-14,0.8,1103385,0.539,Sales
171,Employee 171,emp171@example.com,22,M,2014-02-24,4.2,302594,0.409,Sales
172,Employee 172,emp172@example.com,48,M,2020-11-18,1.78,951885,0.785,Support
173,Employee 173,emp173@example.com,43,M,2017-11-21,3.44,1254223,0.554,HR
174,Employee 174,emp174@example.com,57,F,2020-06-10,3.26,1393712,0.653,Sales
175,Employee 175,emp175@example.com,52,F,2020-07-13,0.35,257083,0.258,Product
176,Employee 176,emp176@example.com,53,F,2016-03-29,5.5,1162915,0.656,Product
177,Employee 177,emp177@example.com,21,M,2022-05-01,3.43,649051,0.503,Sales
178,Employee 178,emp178@example.com,39,M,2016-05-27,4.55,1148699,0.653,HR
179,Employee 179,emp179@example.com,22,M,2014-11-07,1.78,442228,0.401,Product
180,Employee 180,emp180@example.com,46,F,2015-11-25,0.65,370611,0.229,Support
181,Employee 181,emp181@example.com,52,M,2022-01-25,1.18,388824,0.386,Support
182,Employee 182,emp182@example.com,26,M,2017-01-09,6.95,355064,0.16,HR
183,Employee 183,emp183@example.com,52,M,2021-01-06,8.34,1385290,0.329,Support
184,Employee 184,emp184@example.com,24,F,2022-08-05,1.97,1439524,0.402,Sales
185,Employee 185,emp185@example.com,31,M,2022-06-11,1.06,203884,0.545,Sales
186,Employee 186,emp186@example.com,37,F,2014-05-18,3.93,1021941,0.082,Sales
187,Employee 187,emp187@example.com,58,F,2016-11-08,4.36,231649,0.476,Product
188,Employee 188,emp188@example.com,44,F,2016-09-02,5.07,1196521,0.193,Finance
189,Employee 189,emp189@example.com,25,F,2023-11-06,0.09,629516,0.626,Finance
190,Employee 190,emp190@example.com,54,M,2014-07-13,0.03,1082500,0.738,Support
191,Employee 191,emp191@example.com,26,M,2018-03-09,1.33,997468,0.575,Finance
192,Employee 192,emp192@example.com,42,F,2014-06-03,0.5,284571,0.423,Product
193,Employee 193,emp193@example.com,31,F,2015-08-28,4.9,930116,0.435,HR
194,Employee 194,emp194@example.com,36,Other,2020-03-21,2.28,770980,0.775,Support
195,Employee 195,emp195@example.com,53,F,2014-09-18,5.23,1305353,0.811,Finance
196,Employee 196,emp196@example.com,29,M,2019-02-20,0.58,633022,0.869,Finance
197,Employee 197,emp197@example.com,26,M,2023-11-30,2.96,937398,0.326,Support
198,Employee 198,emp198@example.com,36,F,2019-05-26,2.6,860878,0.742,Support
199,Employee 199,emp199@example.com,49,M,2019-12-25,1.25,1167854,0.473,Engineering
200,Employee 200,emp200@example.com,23,M,2023-01-29,2.18,1223389,0.672,Support
201,Employee 201,emp201@example.com,40,F,2014-06-23,2.67,468421,0.43,Sales
202,Employee 202,emp202@example.com,56,M,2023-07-12,6.61,275877,0.396,Finance
203,Employee 203,emp203@example.com,39,M,2017-11-17,0.17,1103552,0.265,Finance
204,Employee 204,emp204@example.com,46,F,2022-01-07,5.2,223613,0.804,HR
205,Employee 205,emp205@example.com,23,F,2017-02-05,11.76,1380607,0.458,Sales
206,Employee 206,emp206@example.com,39,M,2015-06-18,3.95,1146182,0.771,Product
207,Employee 207,emp207@example.com,40,F,2015-07-01,4.01,1458339,0.436,Product
208,Employee 208,emp208@example.com,52,F,2015-05-27,0.74,1402690,0.516,Engineering
209,Employee 209,emp209@example.com,27,M,2023-09-10,2.22,1201803,0.386,HR
210,Employee 210,emp210@example.com,53,M,2021-08-07,3.67,1391290,0.444,HR
211,Employee 211,emp211@example.com,59,M,2021-08-30,2.77,831228,0.618,Sales
212,Employee 212,emp212@example.com,38,F,2019-02-01,1.46,1268499,0.689,HR
213,Employee 213,emp213@example.com,21,M,2016-06-20,8.45,1461480,0.16,Support
214,Employee 214,emp214@example.com,31,Other,2017-03-30,2.16,415327,0.875,Engineering
215,Employee 215,emp215@example.com,48,F,2015-07-27,10.51,1257803,0.589,Sales
216,Employee 216,emp216@example.com,45,F,2021-12-12,2.49,1100199,0.768,HR
217,Employee 217,emp217@example.com,43,F,2016-04-25,4.73,1108910,0.409,HR
218,Employee 218,emp218@example.com,51,F,2018-08-21,4.06,341484,0.594,Support
219,Employee 219,emp219@example.com,50,M,2018-09-05,3.24,824222,0.167,Finance
220,Employee 220,emp220@example.com,55,M,2022-12-02,0.04,624256,0.826,Support
221,Employee 221,emp221@example.com,27,F,2014-06-16,0.24,1072379,0.73,Finance
222,Employee 222,emp222@example.com,36,M,2015-06-03,2.61,379914,0.359,Engineering
223,Employee 223,emp223@example.com,46,M,2015-08-22,7.28,631649,0.191,Finance
224,Employee 224,emp224@example.com,22,F,2017-05-03,2.76,1459730,0.539,HR
225,Employee 225,emp225@example.com,21,F,2017-07-27,0.81,293066,0.404,Finance
226,Employee 226,emp226@example.com,32,M,2015-10-17,1.16,1232455,0.852,HR
227,Employee 227,emp227@example.com,25,F,2017-07-05,2.93,1221383,0.5,Sales
228,Employee 228,emp228@example.com,57,M,2022-06-09,2.73,368039,0.339,Finance
229,Employee 229,emp229@example.com,52,F,2019-06-19,9.35,405020,0.716,Engineering
230,Employee 230,emp230@example.com,29,M,2020-05-01,2.26,851681,0.712,Product
231,Employee 231,emp231@example.com,55,F,2018-12-24,1.32,1225324,0.421,HR
232,Employee 232,emp232@example.com,39,M,2023-09-09,2.23,718778,0.22,Engineering
233,Employee 233,emp233@example.com,36,F,2019-06-29,4.63,242440,0.385,HR
234,Employee 234,emp234@example.com,23,M,2015-04-04,2.33,972489,0.43,HR
235,Employee 235,emp235@example.com,40,M,2014-01-23,1.18,1075229,0.711,Sales
236,Employee 236,emp236@example.com,44,F,2022-01-18,1.24,1377424,0.679,HR
237,Employee 237,emp237@example.com,53,M,2022-07-13,4.24,1265925,0.153,Product
238,Employee 238,emp238@example.com,44,M,2023-05-30,0.21,949578,0.795,Product
239,Employee 239,emp239@example.com,31,M,2015-04-21,0.96,1128931,0.597,Support
240,Employee 240,emp240@example.com,28,F,2020-07-11,0.5,333777,0.315,Product
241,Employee 241,emp241@example.com,56,F,2017-12-18,8.68,543742,0.599,Engineering
242,Employee 242,emp242@example.com,58,M,2023-09-22,0.28,351567,0.605,Sales
243,Employee 243,emp243@example.com,40,F,2019-04-02,4.26,854529,0.833,Engineering
244,Employee 244,emp244@example.com,55,M,2022-08-23,2.99,1474888,0.456,Engineering
245,Employee 245,emp245@example.com,45,F,2021-07-15,3.01,321124,0.652,Product
246,Employee 246,emp246@example.com,55,M,2022-09-14,4.32,1341843,0.058,Engineering
247,Employee 247,emp247@example.com,45,F,2020-11-22,1.53,850448,0.587,HR
248,Employee 248,emp248@example.com,49,M,2017-04-12,1.54,1409304,0.289,Finance
249,Employee 249,emp249@example.com,38,Other,2015-02-10,1.02,336018,0.318,HR
250,Employee 250,emp250@example.com,38,M,2021-10-16,2.73,1147711,0.557,Engineering
251,Employee 251,emp251@example.com,22,M,2021-06-03,7.97,1194921,0.233,Sales
252,Employee 252,emp252@example.com,55,M,2023-05-29,7.73,1253319,0.525,HR
253,Employee 253,emp253@example.com,36,F,2016-01-21,3.64,1135731,0.723,Engineering
254,Employee 254,emp254@example.com,56,F,2018-09-14,7.1,249612,0.366,Sales
255,Employee 255,emp255@example.com,53,F,2015-09-20,9.93,1244044,0.476,Product
256,Employee 256,emp256@example.com,24,F,2017-11-29,4.76,1131025,0.431,Finance
257,Employee 257,emp257@example.com,53,F,2020-03-25,1.57,1386940,0.134,Engineering
258,Employee 258,emp258@example.com,34,F,2015-11-25,1.98,331361,0.577,Support
259,Employee 259,emp259@example.com,41,M,2023-09-13,8.03,293397,0.344,HR
260,Employee 260,emp260@example.com,40,F,2015-05-06,3.33,1264367,0.218,Finance
261,Employee 261,emp261@example.com,28,M,2022-05-20,5.16,1421728,0.551,Product
262,Employee 262,emp262@example.com,27,F,2018-01-01,0.37,1312983,0.436,Product
263,Employee 263,emp263@example.com,23,F,2016-08-08,0.65,1074744,0.498,Finance
264,Employee 264,emp264@example.com,37,F,2018-09-10,1.27,363318,0.466,Engineering
265,Employee 265,emp265@example.com,53,F,2022-01-24,0.63,351032,0.836,Engineering
266,Employee 266,emp266@example.com,32,F,2015-02-06,7.11,1109105,0.688,Sales
267,Employee 267,emp267@example.com,42,F,2022-12-13,0.73,1329562,0.545,Sales
268,Employee 268,emp268@example.com,42,M,2020-02-12,2.44,829440,0.428,Engineering
269,Employee 269,emp269@example.com,50,M,2014-01-25,0.27,376703,0.304,HR
270,Employee 270,emp270@example.com,58,F,2019-04-08,0.51,538663,0.243,Product
271,Employee 271,emp271@example.com,58,Other,2014-03-03,0.85,951330,0.742,Sales
272,Employee 272,emp272@example.com,28,M,2019-05-19,12.2,341302,0.729,Finance
273,Employee 273,emp273@example.com,47,M,2016-02-16,4.78,296422,0.358,Support
274,Employee 274,emp274@example.com,47,M,2015-02-06,3.36,867070,0.071,Support
275,Employee 275,emp275@example.com,54,M,2015-04-29,7.44,1491449,0.416,Finance
276,Employee 276,emp276@example.com,41,F,2017-10-23,9.38,591416,0.635,Engineering
277,Employee 277,emp277@example.com,50,F,2016-10-01,1.81,679194,0.479,Finance
278,Employee 278,emp278@example.com,53,F,2020-11-13,1.19,1179283,0.577,Finance
279,Employee 279,emp279@example.com,48,F,2016-01-09,1.14,768765,0.615,Engineering
280,Employee 280,emp280@example.com,53,F,2017-12-05,0.11,1018313,0.558,Support
281,Employee 281,emp281@example.com,25,M,2021-12-14,0.98,1497213,0.88,Support
282,Employee 282,emp282@example.com,39,M,2020-08-19,1.32,1181408,0.815,HR
283,Employee 283,emp283@example.com,24,F,2019-07-09,0.11,847110,0.47,Engineering
284,Employee 284,emp284@example.com,55,M,2016-06-21,6.43,1438059,0.7,Product
285,Employee 285,emp285@example.com,37,M,2017-06-17,5.65,793744,0.13,Support
286,Employee 286,emp286@example.com,48,M,2014-09-27,0.87,528807,0.607,Sales
287,Employee 287,emp287@example.com,50,M,2023-02-14,4.87,1498403,0.547,HR
288,Employee 288,emp288@example.com,49,M,2023-02-03,4.77,547550,0.365,HR
289,Employee 289,emp289@example.com,26,F,2023-02-25,1.22,761783,0.887,Support
290,Employee 290,emp290@example.com,55,M,2016-12-05,3.58,336581,0.095,Finance
291,Employee 291,emp291@example.com,57,F,2018-05-12,1.03,402089,0.633,Sales
292,Employee 292,emp292@example.com,44,M,2018-05-18,0.22,357105,0.587,Sales
293,Employee 293,emp293@example.com,49,F,2017-10-24,2.11,1415870,0.937,HR
294,Employee 294,emp294@example.com,51,F,2022-01-12,1.73,1036635,0.349,Product
295,Employee 295,emp295@example.com,55,F,2019-04-09,0.45,420266,0.919,Product
296,Employee 296,emp296@example.com,53,F,2020-05-12,2.02,1016919,0.443,Finance
297,Employee 297,emp297@example.com,41,M,2022-07-01,8.95,394500,0.779,Finance
298,Employee 298,emp298@example.com,52,M,2014-03-18,3.94,841563,0.295,Product
299,Employee 299,emp299@example.com,43,M,2022-03-09,4.03,875001,0.282,Sales
300,Employee 300,emp300@example.com,53,M,2018-12-12,4.25,395729,0.384,Product
301,Employee 301,emp301@example.com,23,M,2023-05-20,4.1,1253443,0.477,HR
302,Employee 302,emp302@example.com,38,F,2014-06-06,0.06,798887,0.442,Engineering
303,Employee 303,emp303@example.com,45,F,2021-08-02,7.76,1461695,0.199,Support
304,Employee 304,emp304@example.com,51,F,2014-09-29,5.32,247455,0.744,Engineering
305,Employee 305,emp305@example.com,23,F,2015-06-01,0.96,523282,0.348,Engineering
306,Employee 306,emp306@example.com,44,F,2016-01-16,2.41,842396,0.47,Sales
307,Employee 307,emp307@example.com,52,F,2022-12-06,2.86,1139488,0.113,Product
308,Employee 308,emp308@example.com,42,F,2022-03-22,0.42,685689,0.43,HR
309,Employee 309,emp309@example.com,43,M,2020-03-03,0.88,281774,0.701,HR
310,Employee 310,emp310@example.com,22,M,2023-04-21,0.07,470326,0.532,Finance
311,Employee 311,emp311@example.com,47,Other,2018-10-16,5.98,1325735,0.303,Sales
312,Employee 312,emp312@example.com,22,F,2015-07-21,0.08,1416528,0.276,HR
313,Employee 313,emp313@example.com,46,F,2015-03-27,1.15,840369,0.572,Finance
314,Employee 314,emp314@example.com,37,M,2016-05-18,0.24,1327285,0.66,Sales
315,Employee 315,emp315@example.com,53,F,2021-06-10,4.56,360880,0.447,HR
316,Employee 316,emp316@example.com,29,M,2022-05-04,7.77,871363,0.678,Product
317,Employee 317,emp317@example.com,59,M,2015-04-19,2.48,378076,0.55,HR
318,Employee 318,emp318@example.com,49,M,2021-12-10,0.45,1285883,0.201,Support
319,Employee 319,emp319@example.com,46,F,2015-10-06,2.45,1448499,0.364,Support
320,Employee 320,emp320@example.com,55,M,2018-02-17,4.41,908404,0.22,Sales
321,Employee 321,emp321@example.com,45,M,2017-10-28,3.8,243524,0.236,Finance
322,Employee 322,emp322@example.com,44,M,2023-01-04,4.06,489812,0.49,Sales
323,Employee 323,emp323@example.com,33,F,2015-08-16,0.98,735225,0.569,Engineering
324,Employee 324,emp324@example.com,27,F,2014-06-11,0.23,217104,0.744,HR
325,Employee 325,emp325@example.com,56,F,2016-12-22,0.48,793421,0.345,Engineering
326,Employee 326,emp326@example.com,40,M,2014-12-09,9.34,762015,0.748,Support
327,Employee 327,emp327@example.com,21,F,2018-08-21,2.85,944916,0.948,Support
328,Employee 328,emp328@example.com,28,F,2019-12-31,3.9,228341,0.511,Product
329,Employee 329,emp329@example.com,36,F,2019-01-31,6.88,924776,0.263,Finance
330,Employee 330,emp330@example.com,34,M,2017-10-04,5.75,1400896,0.297,Support
