employee_id,name,email,age,gender,hire_date,tenure_years,salary,satisfaction,last_review_score,attrition,skills,education,department,role,promotions,resume_file,skills_list,num_skills,salary_clipped,tenure_months,recent_review_scaled,low_satisfaction_flag,department_clean
2751,Jennifer Fisher,jenniferfisher2751@example.com,30,F,2025-08-01,0.34,354495,0.715,3.71,0,excel|leadership|numpy|communication,B.Tech,Product,Manager,0,resumes/resume_2751.txt,"['excel', 'leadership', 'numpy', 'communication']",4,354495.0,4.1,0.6775,0,Product
7488,Ashley Flores,ashleyflores7488@example.com,24,M,2025-07-17,0.38,791349,0.391,4.23,1,numpy|javascript|tableau|leadership,M.Tech,Finance,Analyst,1,resumes/resume_7488.txt,"['numpy', 'javascript', 'tableau', 'leadership']",4,791349.0,4.6,0.8075000000000001,1,Finance
5273,Brittany Trevino,brittanytrevino5273@example.com,32,F,2020-02-02,5.84,925880,0.476,4.97,0,nlp|excel|scikit-learn,MSc,Engineering,Analyst,1,resumes/resume_5273.txt,"['nlp', 'excel', 'scikit-learn']",3,925880.0,70.1,0.9924999999999999,0,Engineering
5654,Mrs. Ashley Kirby,mrs.ashleykirby5654@example.com,27,M,2025-05-28,0.52,417253,0.989,4.7,0,javascript|docker|leadership,BSc,Finance,Engineer,1,resumes/resume_5654.txt,"['javascript', 'docker', 'leadership']",3,417253.0,6.2,0.925,0,Finance
4000,Megan Owens,meganowens4000@example.com,29,M,2023-04-09,2.65,574087,0.016,2.6,0,javascript|react|communication|sql|python|hadoop|leadership|tableau,MSc,Sales,Senior Engineer,1,resumes/resume_4000.txt,"['javascript', 'react', 'communication', 'sql', 'python', 'hadoop', 'leadership', 'tableau']",8,574087.0,31.8,0.4,1,Sales
6034,Adam Collins,adamcollins6034@example.com,32,F,2021-12-07,3.99,1070708,0.666,3.09,0,javascript|spark|numpy|tableau,B.Tech,Hr,Senior Engineer,2,resumes/resume_6034.txt,"['javascript', 'spark', 'numpy', 'tableau']",4,1070708.0,47.9,0.5225,0,Hr
583,Joshua Quinn,joshuaquinn583@example.com,38,F,2020-04-28,5.6,840977,0.691,1.34,0,pytorch|scikit-learn|react|pandas,MBA,Hr,Manager,0,resumes/resume_583.txt,"['pytorch', 'scikit-learn', 'react', 'pandas']",4,840977.0,67.2,0.08500000000000002,0,Hr
9931,Jackson Kennedy,jacksonkennedy9931@example.com,34,Other,2018-12-19,6.96,366133,0.218,1.38,1,react|tableau|numpy|python|powerbi,MBA,Support,Engineer,2,resumes/resume_9931.txt,"['react', 'tableau', 'numpy', 'python', 'powerbi']",5,366133.0,83.5,0.09499999999999997,1,Support
7052,Alvin Davis,alvindavis7052@example.com,25,M,2018-01-08,7.91,1269422,0.858,2.93,0,management|powerbi|numpy|leadership|docker|kubernetes|tensorflow,BSc,Engineering,Manager,2,resumes/resume_7052.txt,"['management', 'powerbi', 'numpy', 'leadership', 'docker', 'kubernetes', 'tensorflow']",7,1269422.0,94.9,0.48250000000000004,0,Engineering
8159,Kerry Johnson,kerryjohnson8159@example.com,24,Other,2025-03-14,0.72,1074753,0.144,4.06,1,leadership|python|hadoop|spark,MBA,Sales,Analyst,2,resumes/resume_8159.txt,"['leadership', 'python', 'hadoop', 'spark']",4,1074753.0,8.6,0.7649999999999999,1,Sales
9897,Parker Smith DDS,parkersmithdds9897@example.com,29,Other,2023-07-28,2.35,889028,0.665,4.56,0,excel|scikit-learn|tableau,MSc,Product,Engineer,0,resumes/resume_9897.txt,"['excel', 'scikit-learn', 'tableau']",3,889028.0,28.2,0.8899999999999999,0,Product
2250,Chelsey Rollins,chelseyrollins2250@example.com,24,F,2024-10-06,1.16,361872,0.174,4.27,0,powerbi|docker|communication|hadoop|pandas|kubernetes|python|leadership,B.E,Sales,Intern,2,resumes/resume_2250.txt,"['powerbi', 'docker', 'communication', 'hadoop', 'pandas', 'kubernetes', 'python', 'leadership']",8,361872.0,13.9,0.8174999999999999,1,Sales
4641,Luis James,luisjames4641@example.com,24,Other,2023-12-17,1.96,875507,0.942,2.14,0,spark|communication|aws,MBA,Engineering,Manager,2,resumes/resume_4641.txt,"['spark', 'communication', 'aws']",3,875507.0,23.5,0.28500000000000003,0,Engineering
9486,Alexander Hines,alexanderhines9486@example.com,30,Other,2017-12-05,8.0,571091,0.726,4.95,0,javascript|pytorch|communication|python|sql|tableau,M.Tech,Hr,Analyst,2,resumes/resume_9486.txt,"['javascript', 'pytorch', 'communication', 'python', 'sql', 'tableau']",6,571091.0,96.0,0.9875,0,Hr
4948,Susan Bonilla,susanbonilla4948@example.com,27,F,2019-11-01,6.09,632432,0.91,1.85,0,scikit-learn|pandas|kubernetes|nlp,BSc,Finance,Senior Engineer,2,resumes/resume_4948.txt,"['scikit-learn', 'pandas', 'kubernetes', 'nlp']",4,632432.0,73.1,0.21250000000000002,0,Finance
9921,Jon Jones,jonjones9921@example.com,35,F,2024-01-01,1.92,222255,0.782,3.6,1,numpy|excel|tensorflow,B.Tech,Finance,Senior Engineer,2,resumes/resume_9921.txt,"['numpy', 'excel', 'tensorflow']",3,222255.0,23.0,0.65,0,Finance
1964,Steven Maddox,stevenmaddox1964@example.com,22,Other,2025-05-29,0.52,743063,0.241,1.7,1,pytorch|react|python|docker|tensorflow|numpy|kubernetes,M.Tech,Engineering,Senior Engineer,0,resumes/resume_1964.txt,"['pytorch', 'react', 'python', 'docker', 'tensorflow', 'numpy', 'kubernetes']",7,743063.0,6.2,0.175,1,Engineering
8244,Joan Mendez,joanmendez8244@example.com,37,F,2024-05-19,1.54,1154327,0.924,4.87,1,pytorch|hadoop|powerbi|tableau|tensorflow|scikit-learn,M.Tech,Finance,Engineer,0,resumes/resume_8244.txt,"['pytorch', 'hadoop', 'powerbi', 'tableau', 'tensorflow', 'scikit-learn']",6,1154327.0,18.5,0.9675,0,Finance
6591,Michael Rice,michaelrice6591@example.com,28,Other,2019-08-18,6.3,740378,0.34,4.07,0,pytorch|pandas|tensorflow|scikit-learn|management|excel,M.Tech,Finance,Senior Engineer,2,resumes/resume_6591.txt,"['pytorch', 'pandas', 'tensorflow', 'scikit-learn', 'management', 'excel']",6,740378.0,75.6,0.7675000000000001,1,Finance
8848,Blake Wright,blakewright8848@example.com,24,F,2019-07-03,6.42,673218,0.208,2.99,0,tableau|docker|powerbi|excel,B.Tech,Engineering,Manager,1,resumes/resume_8848.txt,"['tableau', 'docker', 'powerbi', 'excel']",4,673218.0,77.0,0.49750000000000005,1,Engineering
322,Jonathan Wilson,jonathanwilson322@example.com,28,Other,2022-05-27,3.52,631819,0.586,3.8,1,pandas|communication|spark|excel|powerbi|javascript|pytorch,MBA,Product,Engineer,1,resumes/resume_322.txt,"['pandas', 'communication', 'spark', 'excel', 'powerbi', 'javascript', 'pytorch']",7,631819.0,42.2,0.7,0,Product
2679,Angelica Orr,angelicaorr2679@example.com,20,Other,2018-01-11,7.9,631288,0.314,1.03,0,kubernetes|tableau|react|sql|hadoop,MSc,Engineering,Manager,1,resumes/resume_2679.txt,"['kubernetes', 'tableau', 'react', 'sql', 'hadoop']",5,631288.0,94.8,0.007500000000000007,1,Engineering
4626,Taylor Salinas,taylorsalinas4626@example.com,27,M,2022-03-31,3.68,371280,0.837,3.03,0,communication|leadership|react|sql|tableau,MSc,Hr,Manager,1,resumes/resume_4626.txt,"['communication', 'leadership', 'react', 'sql', 'tableau']",5,371280.0,44.2,0.5075,0,Hr
4950,Dr. Billy Peters,dr.billypeters4950@example.com,35,F,2017-12-20,7.96,792481,0.944,1.17,1,pandas|spark|tableau|pytorch|kubernetes|aws|sql,M.Tech,Hr,Intern,0,resumes/resume_4950.txt,"['pandas', 'spark', 'tableau', 'pytorch', 'kubernetes', 'aws', 'sql']",7,792481.0,95.5,0.04249999999999998,0,Hr
8329,David Bartlett,davidbartlett8329@example.com,20,F,2025-07-08,0.41,963838,0.932,3.61,0,management|pytorch|tableau|docker|tensorflow|kubernetes,M.Tech,Finance,Intern,2,resumes/resume_8329.txt,"['management', 'pytorch', 'tableau', 'docker', 'tensorflow', 'kubernetes']",6,963838.0,4.9,0.6525,0,Finance
3338,Robert Bridges,robertbridges3338@example.com,30,M,2025-08-10,0.32,475686,0.809,3.48,1,aws|sql|tableau|python|docker,MSc,Finance,Engineer,2,resumes/resume_3338.txt,"['aws', 'sql', 'tableau', 'python', 'docker']",5,475686.0,3.8,0.62,0,Finance
5590,Dr. Nancy Weaver MD,dr.nancyweavermd5590@example.com,20,F,2024-12-06,0.99,587587,0.324,1.15,0,numpy|hadoop|pytorch|excel|nlp|kubernetes,BSc,Finance,Senior Engineer,0,resumes/resume_5590.txt,"['numpy', 'hadoop', 'pytorch', 'excel', 'nlp', 'kubernetes']",6,587587.0,11.9,0.03749999999999998,1,Finance
252,Sarah Woods,sarahwoods252@example.com,26,F,2018-12-10,6.99,578218,0.792,4.84,0,tableau|spark|aws|tensorflow,BSc,Support,Senior Engineer,1,resumes/resume_252.txt,"['tableau', 'spark', 'aws', 'tensorflow']",4,578218.0,83.9,0.96,0,Support
3974,Lynn Moore,lynnmoore3974@example.com,35,Other,2020-12-01,5.01,702214,0.815,2.42,0,pytorch|excel|spark|javascript|react|aws|sql,MBA,Hr,Manager,0,resumes/resume_3974.txt,"['pytorch', 'excel', 'spark', 'javascript', 'react', 'aws', 'sql']",7,702214.0,60.1,0.355,0,Hr
6631,Tracey Brown,traceybrown6631@example.com,28,Other,2018-03-09,7.74,741704,0.051,2.93,0,excel|nlp|numpy,MBA,Finance,Manager,2,resumes/resume_6631.txt,"['excel', 'nlp', 'numpy']",3,741704.0,92.9,0.48250000000000004,1,Finance
5548,Dr. Joseph Bryant,dr.josephbryant5548@example.com,22,Other,2023-05-04,2.59,746517,0.026,2.88,0,javascript|communication|management|tensorflow|tableau|docker,B.E,Finance,Intern,2,resumes/resume_5548.txt,"['javascript', 'communication', 'management', 'tensorflow', 'tableau', 'docker']",6,746517.0,31.1,0.47,1,Finance
36,Patrick Bonilla,patrickbonilla36@example.com,29,M,2018-08-28,7.27,1091160,0.245,2.9,0,javascript|kubernetes|powerbi,B.E,Product,Analyst,1,resumes/resume_36.txt,"['javascript', 'kubernetes', 'powerbi']",3,1091160.0,87.2,0.475,1,Product
8363,Richard Newman,richardnewman8363@example.com,27,M,2020-03-31,5.68,602559,0.507,2.62,0,numpy|javascript|hadoop|react|communication|leadership,B.Tech,Engineering,Senior Engineer,2,resumes/resume_8363.txt,"['numpy', 'javascript', 'hadoop', 'react', 'communication', 'leadership']",6,602559.0,68.2,0.405,0,Engineering
1514,Diana Taylor,dianataylor1514@example.com,26,F,2025-05-09,0.57,708610,0.885,1.36,0,aws|kubernetes|sql|nlp|management|powerbi,B.Tech,Hr,Senior Engineer,1,resumes/resume_1514.txt,"['aws', 'kubernetes', 'sql', 'nlp', 'management', 'powerbi']",6,708610.0,6.8,0.09000000000000002,0,Hr
9318,Michael Bell,michaelbell9318@example.com,32,F,2020-08-12,5.31,710479,0.648,1.75,1,spark|kubernetes|react|pandas|nlp|numpy|javascript,M.Tech,Finance,Analyst,0,resumes/resume_9318.txt,"['spark', 'kubernetes', 'react', 'pandas', 'nlp', 'numpy', 'javascript']",7,710479.0,63.7,0.1875,0,Finance
40,Lindsey Hernandez,lindseyhernandez40@example.com,28,F,2018-07-29,7.35,789278,0.336,4.57,1,tensorflow|docker|numpy|pytorch,B.Tech,Hr,Analyst,1,resumes/resume_40.txt,"['tensorflow', 'docker', 'numpy', 'pytorch']",4,789278.0,88.2,0.8925000000000001,1,Hr
4820,Michael Morris,michaelmorris4820@example.com,20,Other,2018-05-23,7.54,793515,0.002,2.05,1,spark|tableau|excel|powerbi|javascript|numpy|leadership,B.Tech,Product,Senior Engineer,1,resumes/resume_4820.txt,"['spark', 'tableau', 'excel', 'powerbi', 'javascript', 'numpy', 'leadership']",7,793515.0,90.5,0.26249999999999996,1,Product
3466,Richard Orozco,richardorozco3466@example.com,31,M,2018-06-20,7.46,697583,0.415,1.1,1,aws|numpy|javascript|scikit-learn|docker|excel,MSc,Support,Engineer,0,resumes/resume_3466.txt,"['aws', 'numpy', 'javascript', 'scikit-learn', 'docker', 'excel']",6,697583.0,89.5,0.025000000000000022,0,Support
1761,Alvin Palmer,alvinpalmer1761@example.com,24,M,2023-02-20,2.79,1107291,0.464,2.83,0,tableau|kubernetes|communication,MSc,Finance,Senior Engineer,1,resumes/resume_1761.txt,"['tableau', 'kubernetes', 'communication']",3,1107291.0,33.5,0.4575,0,Finance
2305,Daniel Brown,danielbrown2305@example.com,30,M,2022-07-01,3.43,195018,0.923,4.4,0,python|management|excel|kubernetes|docker|tableau|hadoop,BSc,Support,Engineer,0,resumes/resume_2305.txt,"['python', 'management', 'excel', 'kubernetes', 'docker', 'tableau', 'hadoop']",7,195018.0,41.2,0.8500000000000001,0,Support
3724,David Price,davidprice3724@example.com,37,Other,2023-07-28,2.35,636380,0.749,4.1,0,pytorch|kubernetes|excel|docker|sql,M.Tech,Engineering,Senior Engineer,2,resumes/resume_3724.txt,"['pytorch', 'kubernetes', 'excel', 'docker', 'sql']",5,636380.0,28.2,0.7749999999999999,0,Engineering
8285,Tracy Walker,tracywalker8285@example.com,32,M,2022-11-16,3.05,830169,0.071,2.89,0,docker|tableau|pandas|sql|excel|communication,MSc,Support,Senior Engineer,0,resumes/resume_8285.txt,"['docker', 'tableau', 'pandas', 'sql', 'excel', 'communication']",6,830169.0,36.6,0.47250000000000003,1,Support
4994,John Vargas,johnvargas4994@example.com,24,M,2021-11-02,4.09,507296,0.462,4.55,1,communication|excel|python|aws,MSc,Support,Senior Engineer,2,resumes/resume_4994.txt,"['communication', 'excel', 'python', 'aws']",4,507296.0,49.1,0.8875,0,Support
8128,Natalie Delgado,nataliedelgado8128@example.com,23,M,2020-10-07,5.16,150000,0.781,4.54,0,leadership|scikit-learn|communication|pandas|javascript|management,B.E,Sales,Senior Engineer,2,resumes/resume_8128.txt,"['leadership', 'scikit-learn', 'communication', 'pandas', 'javascript', 'management']",6,150000.0,61.9,0.885,0,Sales
3033,Richard Brown,richardbrown3033@example.com,24,Other,2020-06-27,5.44,974305,0.181,3.04,0,aws|numpy|pandas|javascript|docker|python|sql|kubernetes,B.E,Hr,Intern,1,resumes/resume_3033.txt,"['aws', 'numpy', 'pandas', 'javascript', 'docker', 'python', 'sql', 'kubernetes']",8,974305.0,65.3,0.51,1,Hr
7939,Stephanie Gallegos,stephaniegallegos7939@example.com,26,M,2023-06-11,2.48,924957,0.375,4.96,0,powerbi|excel|communication|kubernetes,MSc,Hr,Intern,1,resumes/resume_7939.txt,"['powerbi', 'excel', 'communication', 'kubernetes']",4,924957.0,29.8,0.99,1,Hr
3040,Kimberly Jones,kimberlyjones3040@example.com,39,Other,2023-10-08,2.16,780054,0.232,1.43,1,react|nlp|python,B.Tech,Sales,Manager,1,resumes/resume_3040.txt,"['react', 'nlp', 'python']",3,780054.0,25.9,0.10749999999999998,1,Sales
9656,Frederick Williams,frederickwilliams9656@example.com,20,M,2023-12-17,1.96,684312,0.581,1.7,0,react|aws|management|spark|numpy|pandas|docker|scikit-learn,MSc,Hr,Intern,0,resumes/resume_9656.txt,"['react', 'aws', 'management', 'spark', 'numpy', 'pandas', 'docker', 'scikit-learn']",8,684312.0,23.5,0.175,0,Hr
2546,Anita Alvarez,anitaalvarez2546@example.com,21,M,2018-01-03,7.92,1126025,0.385,4.66,0,communication|spark|powerbi|pandas|pytorch|docker|management,BSc,Finance,Engineer,1,resumes/resume_2546.txt,"['communication', 'spark', 'powerbi', 'pandas', 'pytorch', 'docker', 'management']",7,1126025.0,95.0,0.915,1,Finance
2593,Christopher Collins,christophercollins2593@example.com,27,Other,2023-06-05,2.5,753452,0.092,4.87,0,aws|pandas|numpy|nlp|scikit-learn|spark,B.Tech,Hr,Senior Engineer,1,resumes/resume_2593.txt,"['aws', 'pandas', 'numpy', 'nlp', 'scikit-learn', 'spark']",6,753452.0,30.0,0.9675,1,Hr
1189,Savannah Fields,savannahfields1189@example.com,27,F,2018-03-19,7.72,765070,0.606,2.04,0,leadership|pandas|react|tensorflow|communication|sql|pytorch|kubernetes,M.Tech,Product,Senior Engineer,2,resumes/resume_1189.txt,"['leadership', 'pandas', 'react', 'tensorflow', 'communication', 'sql', 'pytorch', 'kubernetes']",8,765070.0,92.6,0.26,0,Product
7967,Rachel Hull,rachelhull7967@example.com,33,M,2023-08-31,2.26,975199,0.846,2.42,0,pytorch|javascript|aws|docker|tensorflow|powerbi|hadoop,MSc,Finance,Senior Engineer,2,resumes/resume_7967.txt,"['pytorch', 'javascript', 'aws', 'docker', 'tensorflow', 'powerbi', 'hadoop']",7,975199.0,27.1,0.355,0,Finance
6078,Linda Graham,lindagraham6078@example.com,30,M,2024-11-13,1.05,876947,0.28,1.45,1,hadoop|sql|kubernetes|spark|docker|scikit-learn,BSc,Product,Engineer,1,resumes/resume_6078.txt,"['hadoop', 'sql', 'kubernetes', 'spark', 'docker', 'scikit-learn']",6,876947.0,12.6,0.11249999999999999,1,Product
108,Daniel Klein,danielklein108@example.com,25,Other,2023-06-01,2.51,640795,0.476,1.6,1,management|excel|leadership,BSc,Sales,Engineer,0,resumes/resume_108.txt,"['management', 'excel', 'leadership']",3,640795.0,30.1,0.15000000000000002,0,Sales
1316,Robert Kelly,robertkelly1316@example.com,31,F,2020-07-27,5.36,777827,0.163,1.55,1,kubernetes|sql|management|leadership|hadoop|javascript,MSc,Hr,Manager,1,resumes/resume_1316.txt,"['kubernetes', 'sql', 'management', 'leadership', 'hadoop', 'javascript']",6,777827.0,64.3,0.1375,1,Hr
8188,Mia Norman,mianorman8188@example.com,39,F,2024-02-11,1.81,650797,0.794,1.75,0,scikit-learn|docker|aws|tableau|management|spark,B.E,Product,Manager,1,resumes/resume_8188.txt,"['scikit-learn', 'docker', 'aws', 'tableau', 'management', 'spark']",6,650797.0,21.7,0.1875,0,Product
2754,Matthew Miller,matthewmiller2754@example.com,28,M,2024-11-02,1.08,664560,0.724,2.23,1,kubernetes|aws|excel,B.Tech,Engineering,Manager,1,resumes/resume_2754.txt,"['kubernetes', 'aws', 'excel']",3,664560.0,13.0,0.3075,0,Engineering
9754,Cassandra Larson,cassandralarson9754@example.com,27,F,2024-08-03,1.33,597771,0.571,1.94,0,leadership|scikit-learn|pandas,BSc,Support,Engineer,2,resumes/resume_9754.txt,"['leadership', 'scikit-learn', 'pandas']",3,597771.0,16.0,0.235,0,Support
6232,Jodi Ward,jodiward6232@example.com,31,F,2025-06-18,0.46,627835,0.215,4.66,1,leadership|scikit-learn|sql|react|docker|excel|tableau,MBA,Support,Intern,2,resumes/resume_6232.txt,"['leadership', 'scikit-learn', 'sql', 'react', 'docker', 'excel', 'tableau']",7,627835.0,5.5,0.915,1,Support
2877,Joshua Olson,joshuaolson2877@example.com,28,Other,2018-12-19,6.96,439432,0.248,1.11,1,pytorch|nlp|react|kubernetes|excel|numpy|management|tableau,B.E,Hr,Analyst,2,resumes/resume_2877.txt,"['pytorch', 'nlp', 'react', 'kubernetes', 'excel', 'numpy', 'management', 'tableau']",8,439432.0,83.5,0.027500000000000024,1,Hr
5324,Brian Larson,brianlarson5324@example.com,27,F,2025-04-26,0.61,318134,0.598,4.57,0,tableau|scikit-learn|react|javascript,BSc,Finance,Analyst,2,resumes/resume_5324.txt,"['tableau', 'scikit-learn', 'react', 'javascript']",4,318134.0,7.3,0.8925000000000001,0,Finance
800,Nancy West,nancywest800@example.com,28,Other,2020-05-15,5.56,1043719,0.551,2.18,0,kubernetes|leadership|docker|pytorch|nlp|scikit-learn,B.E,Product,Manager,1,resumes/resume_800.txt,"['kubernetes', 'leadership', 'docker', 'pytorch', 'nlp', 'scikit-learn']",6,1043719.0,66.7,0.29500000000000004,0,Product
3571,Kristen Lee,kristenlee3571@example.com,30,F,2022-03-14,3.73,279782,0.673,3.47,0,management|python|aws|tableau|numpy|nlp|spark|docker,M.Tech,Product,Manager,1,resumes/resume_3571.txt,"['management', 'python', 'aws', 'tableau', 'numpy', 'nlp', 'spark', 'docker']",8,279782.0,44.8,0.6175,0,Product
2895,John Brooks,johnbrooks2895@example.com,20,F,2020-02-23,5.78,150000,0.641,4.93,1,numpy|tableau|scikit-learn|python|pandas|tensorflow|excel|spark,M.Tech,Engineering,Engineer,0,resumes/resume_2895.txt,"['numpy', 'tableau', 'scikit-learn', 'python', 'pandas', 'tensorflow', 'excel', 'spark']",8,150000.0,69.4,0.9824999999999999,0,Engineering
2928,James Lucas,jameslucas2928@example.com,20,F,2019-04-20,6.63,570482,0.973,2.73,1,leadership|aws|tableau|kubernetes,MSc,Product,Analyst,1,resumes/resume_2928.txt,"['leadership', 'aws', 'tableau', 'kubernetes']",4,570482.0,79.6,0.4325,0,Product
8179,Tara Brown,tarabrown8179@example.com,31,F,2020-10-22,5.12,952323,0.424,1.0,1,management|pytorch|numpy|aws|tableau|javascript|pandas|nlp,B.E,Finance,Engineer,1,resumes/resume_8179.txt,"['management', 'pytorch', 'numpy', 'aws', 'tableau', 'javascript', 'pandas', 'nlp']",8,952323.0,61.4,0.0,0,Finance
972,Brad Barnes,bradbarnes972@example.com,33,Other,2025-07-12,0.39,607597,0.509,4.48,0,spark|scikit-learn|aws|numpy|leadership|management,MSc,Finance,Analyst,1,resumes/resume_972.txt,"['spark', 'scikit-learn', 'aws', 'numpy', 'leadership', 'management']",6,607597.0,4.7,0.8700000000000001,0,Finance
6688,Thomas Miller,thomasmiller6688@example.com,27,F,2022-05-28,3.52,578353,0.999,4.7,0,sql|tensorflow|leadership,B.E,Product,Senior Engineer,0,resumes/resume_6688.txt,"['sql', 'tensorflow', 'leadership']",3,578353.0,42.2,0.925,0,Product
8576,Christopher Hernandez,christopherhernandez8576@example.com,21,M,2019-12-31,5.93,1184922,0.77,3.4,0,react|tableau|numpy|docker|leadership|sql,B.E,Product,Analyst,2,resumes/resume_8576.txt,"['react', 'tableau', 'numpy', 'docker', 'leadership', 'sql']",6,1184922.0,71.2,0.6,0,Product
2021,Daniel Carter,danielcarter2021@example.com,20,Other,2019-07-21,6.38,774911,0.725,4.95,0,hadoop|pytorch|docker|spark|python|excel,B.Tech,Engineering,Engineer,2,resumes/resume_2021.txt,"['hadoop', 'pytorch', 'docker', 'spark', 'python', 'excel']",6,774911.0,76.6,0.9875,0,Engineering
9055,Elizabeth Avery,elizabethavery9055@example.com,30,M,2021-03-19,4.71,648587,0.206,2.93,0,management|aws|pytorch|nlp|excel|numpy,B.Tech,Sales,Senior Engineer,2,resumes/resume_9055.txt,"['management', 'aws', 'pytorch', 'nlp', 'excel', 'numpy']",6,648587.0,56.5,0.48250000000000004,1,Sales
953,Lori Sanchez,lorisanchez953@example.com,20,Other,2021-07-04,4.42,418308,0.473,4.04,0,scikit-learn|nlp|leadership|sql|docker|hadoop|management|numpy,M.Tech,Engineering,Analyst,0,resumes/resume_953.txt,"['scikit-learn', 'nlp', 'leadership', 'sql', 'docker', 'hadoop', 'management', 'numpy']",8,418308.0,53.0,0.76,0,Engineering
5360,Craig Bolton,craigbolton5360@example.com,28,Other,2023-07-12,2.4,205403,0.898,2.05,0,kubernetes|nlp|scikit-learn|javascript|pytorch|python,B.Tech,Support,Senior Engineer,0,resumes/resume_5360.txt,"['kubernetes', 'nlp', 'scikit-learn', 'javascript', 'pytorch', 'python']",6,205403.0,28.8,0.26249999999999996,0,Support
3858,Monica Avila,monicaavila3858@example.com,25,M,2023-11-19,2.04,994604,0.051,1.2,0,aws|python|pytorch|kubernetes|spark|nlp,MBA,Engineering,Intern,0,resumes/resume_3858.txt,"['aws', 'python', 'pytorch', 'kubernetes', 'spark', 'nlp']",6,994604.0,24.5,0.04999999999999999,1,Engineering
5862,Angela Burns,angelaburns5862@example.com,38,M,2019-10-15,6.14,526079,0.374,1.47,0,python|numpy|sql|react|tensorflow|tableau|docker|hadoop,BSc,Engineering,Analyst,2,resumes/resume_5862.txt,"['python', 'numpy', 'sql', 'react', 'tensorflow', 'tableau', 'docker', 'hadoop']",8,526079.0,73.7,0.1175,1,Engineering
